name,price,score,link,text
Prima Link Hotel,700,9.2,https://www.booking.com/hotel/il/prima-link.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=170836001_369509820_0_2_0&highlighted_blocks=170836001_369509820_0_2_0&matching_block_id=170836001_369509820_0_2_0&sr_pri_blocks=170836001_369509820_0_2_0__70000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Prima Link Hotel has a restaurant, fitness center, a bar and shared lounge in Petaẖ Tiqwa. This 4-star hotel offers a concierge service and a tour desk. The accommodations features a 24-hour front desk, room service and currency exchange for guests.

All rooms are fitted with air conditioning, a TV with satellite channels, a fridge, a kettle, a bath or shower, a hairdryer and a desk. At the hotel the rooms have a wardrobe and a private bathroom.

Guests at Prima Link Hotel can enjoy a continental or a à la carte breakfast.

The accommodations offers a terrace. Guests at Prima Link Hotel will be able to enjoy activities in and around Petaẖ Tiqwa, like cycling.

The hotel also provides a business center and guests can check the newspapers at Prima Link Hotel.

Tel Aviv is 6.2 mi from the accommodations. The nearest airport is Ben Gurion, 12 mi from Prima Link Hotel, and the property offers a paid airport shuttle service."
B&B Amit 18 minutes from the airport - אירוח כפרי עמית 18 דקות משדה תעופה,351,8.8,https://www.booking.com/hotel/il/ykhydt-dyvr-mqsymh-m-khtsr-yph-khnyh-17-dq-mshdh-ht-vph-almond-near-tlv-ap.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=1031507801_376052637_2_0_0&highlighted_blocks=1031507801_376052637_2_0_0&matching_block_id=1031507801_376052637_2_0_0&sr_pri_blocks=1031507801_376052637_2_0_0__35100&from=searchresults#hotelTmpl,"Featuring a garden, B&B Amit 18 minutes from the airport - אירוח כפרי עמית 18 דקות משדה תעופה is located in Petaẖ Tiqwa, within 7.2 miles of Kikar Ha-Medina and 7.2 miles of Tel Aviv Museum of Art. Free Wifi is featuredthroughout the property.

There's also a kitchen in some of the units equipped with a microwave, a fridge, and a stovetop.

The apartment has a picnic area.

Hashalom Train Station is 7.3 miles from B&B Amit 18 minutes from the airport - אירוח כפרי עמית 18 דקות משדה תעופה, while The Cameri Theater is 7.4 miles away. The nearest airport is Ben Gurion Airport, 5.6 miles from the accommodation."
Rothschild Room,500,8.6,https://www.booking.com/hotel/il/rothschild-rooms.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=596885701_304178600_2_0_0&highlighted_blocks=596885701_304178600_2_0_0&matching_block_id=596885701_304178600_2_0_0&sr_pri_blocks=596885701_304178600_2_0_0__49959&from=searchresults#hotelTmpl,"Located in Petaẖ Tiqwa, 6.4 miles from Kikar Ha-Medina, Rothschild Room features views of the quiet street. The property is around 6.4 miles from Tel Aviv Museum of Art, 6.5 miles from Hashalom Train Station and 6.6 miles from The Cameri Theater. The property has a 24-hour front desk, airport transfers, private check-in and check-out and free Wifithroughout the property.

All guest rooms come with air conditioning, a flat-screen TV with satellite channels, a fridge, a coffee machine, a shower, free toiletries and a desk. The guest house provides some rooms that feature city views, and rooms are equipped with a private bathroom and a wardrobe. At Rothschild Room the rooms come with bed linen and towels.

Park HaYarkon is 6.6 miles from the accommodation, while Itzhak Rabin Memorial is 6.7 miles from the property. The nearest airport is Ben Gurion Airport, 6.2 miles from Rothschild Room."
Rothschild 79,400,7.2,https://www.booking.com/hotel/il/dym.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=922442601_367387443_2_0_0&highlighted_blocks=922442601_367387443_2_0_0&matching_block_id=922442601_367387443_2_0_0&sr_pri_blocks=922442601_367387443_2_0_0__40014&from=searchresults#hotelTmpl,"Located in Petaẖ Tiqwa, 6.2 miles from Kikar Ha-Medina, Rothschild 79 provides express check-in and check-out and free Wifithroughout the property. The property is around 6.2 miles from Tel Aviv Museum of Art, 6.3 miles from Hashalom Train Station and 6.3 miles from The Cameri Theater. Staff on site can arrange a shuttle service.

Complete with a private bathroom equipped with a shower, all guest rooms at the guest house have a flat-screen TV and air conditioning, and selected rooms will provide you with a balcony. At Rothschild 79 all rooms have bed linen and towels.

Park HaYarkon is 6.4 miles from the accommodation, while Itzhak Rabin Memorial is 6.5 miles away. The nearest airport is Ben Gurion, 6.2 miles from Rothschild 79, and the property offers a paid airport shuttle service."
Villa Ono - at Bar Ilan University and Sheba Hospital,491,8.9,https://www.booking.com/hotel/il/villa-ono-near-bar-ilan-and-sheba-hospital.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=865143102_359762575_2_0_0&highlighted_blocks=865143102_359762575_2_0_0&matching_block_id=865143102_359762575_2_0_0&sr_pri_blocks=865143102_359762575_2_0_0__49140&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Located in Qiryat Ono and with The Cameri Theater reachable within 5.3 miles, Villa Ono - at Bar Ilan University and Sheba Hospital has express check-in and check-out, non-smoking rooms, a garden, free Wifithroughout the property and a terrace. Featuring family rooms, this property also provides guests with a picnic area. The property provides a shared kitchen, and luggage storage for guests.

At the guest house, rooms are equipped with a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels. Some rooms have a kitchen with an oven, a microwave and a toaster. The rooms at Villa Ono - at Bar Ilan University and Sheba Hospital have air conditioning and a outdoor furniture.

Kikar Ha-Medina is 5.6 miles from the accommodation, while Hashalom Train Station is 5.7 miles from the property. The nearest airport is Ben Gurion Airport, 5.6 miles from Villa Ono - at Bar Ilan University and Sheba Hospital."
avi's place,251,7.6,https://www.booking.com/hotel/il/avis-place.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=1046493301_376950788_2_0_0&highlighted_blocks=1046493301_376950788_2_0_0&matching_block_id=1046493301_376950788_2_0_0&sr_pri_blocks=1046493301_376950788_2_0_0__25075&from=searchresults#hotelTmpl,"Avi's place is located in ‘En Gannim, 6.9 miles from Tel Aviv Museum of Art, 7 miles from Hashalom Train Station, and 7 miles from The Cameri Theater. The property is 6.9 miles from the Kikar Ha-Medina and has free Wifithroughout the property.

This air-conditioned apartment comes with 1 bedroom, a flat-screen TV, and a kitchen.

Park HaYarkon is 7.1 miles from the apartment, while Itzhak Rabin Memorial is 7.2 miles from the property. The nearest airport is Ben Gurion Airport, 6.8 miles from avi's place."
"GivAt-Shmuel, Song Towers Studio",506,9.0,https://www.booking.com/hotel/il/givat-shmuel-song-towers-studio.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=1068734101_379365332_2_0_0&highlighted_blocks=1068734101_379365332_2_0_0&matching_block_id=1068734101_379365332_2_0_0&sr_pri_blocks=1068734101_379365332_2_0_0__50614&from=searchresults#hotelTmpl,"GivAt-Shmuel, Song Towers Studio is located in Giv‘at Shemuʼel, 5.4 miles from Kikar Ha-Medina, 5.5 miles from Tel Aviv Museum of Art, as well as 5.5 miles from Hashalom Train Station. It has city views and free Wifithroughout the property.

The air-conditioned apartment is composed of 1 separate bedroom, a fully equipped kitchenette with a microwave and a fridge, and 1 bathroom. Towels and bed linen are available in the apartment.

The Cameri Theater is 5.6 miles from the apartment, while Park HaYarkon is 5.6 miles from the property. The nearest airport is Ben Gurion Airport, 6.2 miles from GivAt-Shmuel, Song Towers Studio."
מהממת ומרווחת בגבעת שמואל,1270,8.8,https://www.booking.com/hotel/il/mhmmt-vmrvvkht-bgb-t-shmvl.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=982513201_373544754_2_0_0&highlighted_blocks=982513201_373544754_2_0_0&matching_block_id=982513201_373544754_2_0_0&sr_pri_blocks=982513201_373544754_2_0_0__126999&from=searchresults#hotelTmpl,"Located 5.3 miles from Kikar Ha-Medina and 5.3 miles from Tel Aviv Museum of Art, מהממת ומרווחת בגבעת שמואל offers accommodations with a kitchen in Giv‘at Shemuʼel. This property has a balcony, free private parking and free Wifi.

This 5-bedroom apartment will provide you with a flat-screen TV, air conditioning and a living room.

Hashalom Train Station is 5.3 miles from the apartment, while The Cameri Theater is 5.4 miles from the property. The nearest airport is Ben Gurion Airport, 6.8 miles from מהממת ומרווחת בגבעת שמואל."
HaBima Square Apartment,655,6.8,https://www.booking.com/hotel/il/habima-square-apartment.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=250074901_368001058_4_0_0&highlighted_blocks=250074901_368001058_4_0_0&matching_block_id=250074901_368001058_4_0_0&sr_pri_blocks=250074901_368001058_4_0_0__65520&from=searchresults#hotelTmpl,"In a central area of Tel Aviv, located within a short distance of Bograshov Beach and Frishman Beach, HaBima Square Apartment offers free Wifi, air conditioning and household amenities such as a microwave and coffee machine. This apartment provides accommodations with a balcony.

The apartment features 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a terrace with city views.

Popular points of interest near the apartment include Jerusalem Beach, Dizengoff Center and Shenkin Street. The nearest airport is Ben Gurion Airport, 8.7 miles from HaBima Square Apartment."
Private rooms near the beach center,233,8.4,https://www.booking.com/hotel/il/guesthouse-bugrashov.html?label=gen173nr-1FCAEoggI46AdIM1gEaGqIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGoAgO4ArPjmqkGwAIB0gIkMzBkOTgxZGYtMjM5Zi00NDFkLThjZTAtODQ1MTdhZmY5ZTAw2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-10-14&checkout=2023-10-15&dest_id=-781014&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=class%3D3%3Bclass%3D4%3Bclass%3D5&srpvid=9b81661d91c004a7&srepoch=1697034692&all_sr_blocks=142643042_278431784_2_0_0&highlighted_blocks=142643042_278431784_2_0_0&matching_block_id=142643042_278431784_2_0_0&sr_pri_blocks=142643042_278431784_2_0_0__23283&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Private rooms near the beach center is located in the Tel Aviv City-Center district in Tel Aviv, 1640 feet from Dizengoff Square and 1969 feet from Dizengoff Center Shopping Mall. The seafront is a 5-minute walk from this property.

Rooms come with a private bathroom fitted with a bath or shower and shower. Private rooms near the beach center features free WiFi. A flat-screen TV is provided.

There is a shared kitchen, and a shared lounge at the propety.

The nearest airport is Ben Gurion Airport, 8.1 mi from Private rooms near the beach center."
